state,goveffect,genint,agreeable,tom,govn,iq
Alabama,1.3,95.699997,52.700001,5.7828283,0,1.4851476
Arizona,4.3000002,97.400002,46.599998,4.242424,.44776124,3.1683195
Arkansas,3,97.5,52.700001,5.7828283,.25373134,3.2673278
California,2.7,95.5,49,4.8484845,.20895524,1.2871311
Colorado,4,101.6,47.5,4.469697,.40298507,7.3267298
Connecticut,3,103.1,38.599998,2.2222219,.25373134,8.8118773
Delaware,6.6999998,100.4,38.799999,2.2727273,.80597013,6.1386147
Florida,4.6999998,98.400002,50.700001,5.2777777,.50746268,4.1584177
Georgia,5,98,60,7.6262622,.55223882,3.7623768
Idaho,4.3000002,101.4,52.900002,5.833334,.44776124,7.1287131
Illinois,5,99.900002,48.299999,4.6717172,.55223882,5.6435657
Indiana,4.3000002,101.7,50.200001,5.151515,.44776124,7.4257379
Iowa,6.3000002,103.2,56.599998,6.7676764,.74626869,8.9108858
Kansas,5.6999998,102.8,48.900002,4.8232327,.65671641,8.5148525
Kentucky,6.6999998,99.400002,48.099998,4.6212115,.80597013,5.1485162
Louisiana,5.3000002,95.699997,49.700001,5.0252528,.59701496,1.4851476
Maine,4.3000002,103.4,32.799999,.75757569,.44776124,9.1089096
Maryland,6.3000002,99.699997,37.299999,1.8939393,.74626869,5.4455414
Massachusetts,4.3000002,104.3,40.700001,2.7525256,.44776124,10
Michigan,7.3000002,100.5,54.700001,6.287879,.89552242,6.2376232
Minnesota,6.3000002,103.7,61.599998,8.030302,.74626869,9.4059353
Mississippi,4,94.199997,63.299999,8.4595957,.40298507,0
Missouri,7,101,59.299999,7.4494944,.85074627,6.7326727
Montana,4.3000002,103.4,52.299999,5.681818,.44776124,9.1089096
Nebraska,5.6999998,102.3,62.900002,8.3585854,.65671641,8.019803
Nevada,4,96.5,31.799999,.50505048,.40298507,2.2772293
New Hampshire,3.3,104.2,53.5,5.984848,.29850745,9.9009838
New Jersey,5,102.8,44.599998,3.7373734,.55223882,8.5148525
New Mexico,3.3,95.699997,45.400002,3.9393945,.29850745,1.4851476
New York,3.7,100.7,29.799999,0,.35820895,6.4356399
North Carolina,5.3000002,100.2,63.599998,8.5353527,.59701496,5.9405904
North Dakota,5,103.8,52.400002,5.7070708,.55223882,9.5049505
Ohio,6,101.8,45.900002,4.0656571,.70149255,7.5247536
Oklahoma,3.3,99.300003,54.299999,6.1868687,.29850745,5.0495081
Oregon,4.3000002,101.2,59.900002,7.6010103,.44776124,6.9306889
Pennsylvania,6.3000002,101.5,42.799999,3.2828281,.74626869,7.2277212
Rhode Island,3,99.5,35.200001,1.3636367,.25373134,5.2475243
South Carolina,6.3000002,98.400002,55.400002,6.4646463,.74626869,4.1584177
South Dakota,4.6999998,102.8,56.700001,6.7929292,.50746268,8.5148525
Tennessee,4.6999998,97.699997,66.599998,9.2929287,.50746268,3.4653444
Texas,6,100,52.599998,5.757575,.70149255,5.7425737
Utah,8,101.1,69.400002,10,1,6.8316803
Vermont,5.3000002,103.8,60,7.6262622,.59701496,9.5049505
Virginia,7.6999998,101.9,47.400002,4.4444447,.95522386,7.6237626
Washington,7.6999998,101.9,55.799999,6.5656562,.95522386,7.6237626
West Virginia,3.7,98.699997,51.799999,5.5555553,.35820895,4.4554429
Wisconsin,5.3000002,102.9,57.799999,7.0707064,.59701496,8.6138611
Wyoming,3,102.4,40.700001,2.7525256,.25373134,8.1188116
