cname,id,goveff,agree,genint,tom,iq,govn
Argentina,ARG,.16212919,42.75,87.470001,2.5204363,5.1823711,.31288028
Australia,AUS,1.5685095,47.509998,99.25,5.7629418,8.1661606,.83623284
Austria,AUT,1.511905,45.900002,98.57,4.666214,7.9939213,.81516874
Belgium,BEL,1.3262135,45.07,97.610001,4.1008177,7.7507601,.74606788
Bangladesh,BGD,-.67865896,50.490002,74.360001,7.7929168,1.861702,0
Bolivia,BOL,-.56706274,49.619999,77.349998,7.2002721,2.6190469,.041528009
Brazil,BRA,-.17377827,45.860001,83.419998,4.6389656,4.1565342,.18787992
Canada,CAN,1.7814615,49.139999,99.379997,6.8732972,8.1990881,.91547811
Switzerland,CHE,2.0085931,47.689999,99.25,5.8855581,8.1661606,1
Chile,CHL,1.010753,47.02,87.910004,5.4291558,5.2938204,.62867641
Cyprus,CYP,.9609431,51.16,93.389999,8.2493191,6.6818643,.6101408
Czech Republic,CZE,1.0367395,44.09,94.919998,3.433243,7.0694017,.63834667
Germany,DEU,1.7345681,45.080002,100.41,4.1076312,8.459981,.89802784
Spain,ESP,1.1158421,45.259998,93.870003,4.2302446,6.8034458,.66778296
Estonia,EST,1.0908567,49.580002,101.09,7.1730261,8.6322184,.65848517
Finland,FIN,1.8289077,49.459999,100.55,7.09128,8.4954414,.93313414
France,FRA,1.4052522,46.639999,96.910004,5.1703,7.5734563,.77548033
United Kingdom,GBR,1.6016183,47.310001,99.220001,5.6267042,8.1585617,.84855354
Greece,GRC,.22667781,52.419998,90.739998,9.1076288,6.0106378,.33690059
Croatia,HRV,.49428681,45.200001,95.650002,4.189374,7.2543068,.4364852
Indonesia,IDN,.0076384926,46.380001,78.790001,4.9931893,2.9837892,.25539005
India,IND,.07518322,50.43,76.160004,7.7520442,2.3176298,.2805253
Israel,ISR,1.3454877,49.439999,92.470001,7.0776563,6.4488354,.75324035
Italy,ITA,.53477043,46.52,94.160004,5.0885563,6.8769007,.45155028
Jordan,JOR,.13379024,53.73,80.660004,10,3.4574475,.30233458
Japan,JPN,1.8220379,42.209999,106.43,2.1525884,9.9848032,.93057775
"Korea, South",KOR,1.0640421,44.110001,102.46,3.4468675,8.9792299,.64850676
Lebanon,LBN,-.53850979,46.099998,81.75,4.8024516,3.7335358,.052153341
Lithuania,LTU,1.0700655,42.610001,95.989998,2.4250691,7.3404255,.65074819
Latvia,LVA,1.0052642,43.790001,94.790001,3.228884,7.0364742,.62663388
Morocco,MAR,-.10620136,48.950001,67.010002,6.7438703,0,.21302713
Mexico,MEX,.13191356,49.509998,87.730003,7.12534,5.2482276,.30163622
Malta,MLT,.9557845,49.560001,91.290001,7.1594019,6.1499496,.60822111
Malaysia,MYS,.86577493,48.549999,87.580002,6.4713898,5.2102332,.5747261
Netherlands,NLD,1.8335395,46.080002,100.81,4.7888298,8.5612965,.93485779
New Zealand,NZL,1.8430052,46.830002,98.849998,5.2997293,8.0648432,.93838024
Peru,PER,-.17861851,43.639999,81.419998,3.1267028,3.6499488,.18607873
Philippines,PHL,-.010237089,47.959999,81.550003,6.0694818,3.682878,.24873807
Poland,POL,.70656639,46.740002,96.419998,5.238421,7.4493413,.51548022
Portugal,PRT,1.2098205,49.52,92.839996,7.1321535,6.5425529,.70275486
Romania,ROU,-.16903558,45.310001,86.919998,4.2643065,5.0430593,.1896448
Serbia,SRB,.079659455,47.639999,89.639999,5.8514986,5.7320161,.28219104
Slovakia,SVK,.89406812,47.380001,96.32,5.6743879,7.4240122,.58525479
Slovenia,SVN,1.1272588,50.18,98.660004,7.5817442,8.0167189,.6720314
Turkey,TUR,.048478272,47.889999,87.050003,6.0217981,5.0759888,.27058765
Taiwan,TWN,1.3614401,44.740002,106.49,3.8760233,10,.75917667
Ukraine,UKR,-.57227862,39.049999,90.07,0,5.8409319,.039587036
United States,USA,1.4767926,50,97.459999,7.4591284,7.7127657,.80210251
