g4id,genint,reasoning,mtime2,iq,govn,tom
34,18.5,9,.88840002,.92592591,.8592279,8
93,21.5,5,.84940183,3.1481481,.80893272,4
94,29.25,2,.83304352,8.8888893,.78783572,1
105,20,7,.54893333,2.0370369,.42142445,6
124,22.666666,6,.65865743,4.0123453,.56293344,5
103,22.5,9,.81954169,3.8888888,.7704227,8
117,25.25,4,.93473238,5.9259262,.91898179,3
18,20,7,.83793795,2.0370369,.79414797,6
26,22,7,.54189628,3.5185184,.41234893,6
112,22,5,.85360277,3.5185184,.81435055,4
108,22.5,6,.68998796,3.8888888,.60333979,5
98,23.5,8,.97615373,4.6296296,.9724021,7
109,24,11,.88280094,5,.85200685,10
96,26.25,6,.98799258,6.666667,.98767042,5
49,20,7,.96814907,2.0370369,.96207863,6
3,23.5,9,.81865275,4.6296296,.7692762,8
99,24.5,10,.95563799,5.3703699,.94594336,9
100,20.5,3,.9305954,2.4074075,.91364646,2
115,18.5,6,.57212776,.92592591,.45133784,5
4,23,9,.98640925,4.2592592,.98562843,8
12,20.333334,9,.72308332,2.283951,.64602226,8
123,23.666666,7,.87875742,4.7530861,.84679204,6
33,17.25,5,.76243335,0,.6967712,4
102,22.5,5,.87359631,3.8888888,.84013587,4
106,23.75,7,.73708612,4.814815,.66408134,6
2,25.5,9,.68407315,6.1111112,.59571159,8
43,24,4,.97431576,5,.97003174,3
120,23.5,3,.72132039,4.6296296,.64374864,2
50,24.5,9,.71509814,5.3703699,.63572389,8
45,25,7,.68039906,5.7407408,.5909732,6
114,23.75,5,.82584447,4.814815,.77855122,4
51,26.25,9,.96512127,6.666667,.95817375,8
48,20.25,2,.61848241,2.2222223,.5111205,1
110,23,3,.87733704,4.2592592,.84496021,2
91,22,7,.79815739,3.5185184,.74284375,6
44,24,6,.85773891,5,.81968486,5
5,17.5,9,.22216667,.18518519,0,8
10,21.5,8,.87933427,3.1481481,.84753597,7
11,21,7,.6583398,2.7777779,.56252378,6
25,21.5,3,.57489908,3.1481481,.45491198,2
107,20.5,3,.7181111,2.4074075,.63960963,2
104,20,4,.86992127,2.0370369,.83539623,3
15,20.25,4,.75294632,2.2222223,.68453592,3
118,25,5,.98024631,5.7407408,.97768021,4
17,18.25,5,.94878614,.74074078,.93710667,4
16,20.75,9,.84489816,2.5925925,.80312443,8
121,23.25,2,.77506852,4.4444447,.71306652,1
116,23,6,.82082409,4.2592592,.77207655,5
122,26,10,.76950645,6.4814811,.70589322,9
95,25.5,7,.96391296,6.1111112,.95661545,6
113,23.75,10,.87332964,4.814815,.83979189,9
32,21.333334,8,.96562594,3.0246921,.95882463,7
52,25.75,4,.95213795,6.2962961,.94142944,3
97,23.25,7,.98119813,4.4444447,.97890776,6
119,24.75,6,.84465462,5.5555558,.80281031,5
92,26.5,8,.85226113,6.8518519,.81262028,7
111,22.75,7,.79764074,4.0740738,.74217743,6
101,22,6,.87674534,3.5185184,.84419709,5
1,21.5,3,.98137498,3.1481481,.97913587,2
37,26,10,.98498613,6.4814811,.98379308,9
65,22.5,6,.78651762,3.8888888,.7278322,5
69,22.5,5,.79647779,3.8888888,.74067765,4
64,23.333334,4,.71234351,4.5061736,.63217133,3
85,24,6,.50684261,5,.36714089,5
66,25,4,.80271941,5.7407408,.74872732,3
42,23.25,7,.76277685,4.4444447,.69721419,6
88,25,7,.67472965,5.7407408,.58366144,6
71,26.333334,3,.8514722,6.7283959,.81160283,2
41,26.333334,6,.86726207,6.7283959,.8319667,5
73,24,6,.99586296,5,.99782073,5
39,25.25,9,.98440558,5.9259262,.98304433,8
78,25.25,7,.51158702,5.9259262,.37325966,6
9,22.666666,9,.99755275,4.0123453,1,8
47,22.75,8,.77452779,4.0740738,.71236914,7
75,21,7,.75605279,2.7777779,.68854231,6
23,19,6,.56711388,1.2962962,.44487154,5
46,24.25,5,.71964628,5.185185,.64158952,4
55,22.5,5,.85186946,3.8888888,.81211513,4
82,22.75,4,.71414071,4.0740738,.63448912,3
14,21.25,3,.84702039,2.9629631,.80586141,2
8,20.25,9,.7363472,2.2222223,.66312838,8
54,22.75,9,.96124077,4.0740738,.95316917,8
83,23.25,7,.84215373,4.4444447,.79958498,6
28,26.333334,10,.99043888,6.7283959,.99082536,9
36,20,7,.94933242,2.0370369,.9378112,6
81,22.75,8,.76681942,4.0740738,.7024278,7
90,22.25,7,.8073926,3.7037036,.75475425,6
77,26.25,6,.68965554,6.666667,.60291111,5
74,22.25,5,.93558979,3.7037036,.92008758,4
24,18,5,.96815187,.55555558,.96208227,4
63,24.25,6,.83115464,5.185185,.78539968,5
89,21.5,7,.58346111,3.1481481,.46595424,6
20,20.5,7,.77299815,2.4074075,.71039641,6
87,21.5,6,.63194722,3.1481481,.52848583,5
19,25.25,7,.97788239,5.9259262,.97463155,6
22,30.75,8,.96524352,10,.95833141,7
53,25.25,9,.97076386,5.9259262,.96545088,8
76,20.5,7,.81893426,2.4074075,.76963931,6
57,21,3,.87115186,2.7777779,.83698326,2
60,22.5,3,.56225091,3.8888888,.43859988,2
35,23.5,11,.9926185,4.6296296,.99363637,10
40,22.75,6,.83577961,4.0740738,.79136437,5
68,21.666666,4,.74943149,3.2716045,.68000293,3
86,21,7,.27228519,2.7777779,.064636856,6
84,22.5,4,.84637129,3.8888888,.80502427,3
27,24.25,8,.93432498,5.185185,.91845638,7
59,24,8,.93961388,5,.92527741,7
31,18.5,6,.74553055,.92592591,.674972,5
38,28.25,8,.93381113,8.1481476,.91779369,7
67,21.25,7,.76487315,2.9629631,.69991773,6
7,27,8,.96048427,7.2222223,.9521935,7
29,19.666666,3,.7116065,1.790123,.63122082,2
58,27,6,.99184722,7.2222223,.99264169,5
79,21,4,.71017593,2.7777779,.62937582,3
30,19.25,1,.43922222,1.4814816,.27993223,0
62,23.75,9,.98585093,4.814815,.9849084,8
70,26,10,.7948426,6.4814811,.73856872,9
61,20.666666,6,.86023611,2.5308635,.82290548,5
13,20.25,9,.97297776,2.2222223,.96830612,8
80,22,3,.69674075,3.5185184,.61204875,2
56,23,8,.84825742,4.2592592,.80745679,7
21,23.25,7,.99031943,4.4444447,.99067134,6
6,25.75,5,.72575647,6.2962961,.64946973,4
72,25.5,8,.93820554,6.1111112,.92346108,7
